state,state_name,assessment,subject,grade,school_year,administration_year,source_bin_structure,source_bin_1_label,source_bin_1_pct,source_bin_2_label,source_bin_2_pct,source_bin_3_label,source_bin_3_pct,source_bin_4_label,source_bin_4_pct,source_bin_5_label,source_bin_5_pct,notes,source_url,source_page_url
AK,Alaska,AK STAR,ELA,03,2024-2025,2025,published_exact_tiers,Needs Support,36.3,Approaching Proficient,35.0,Proficient,18.8,Advanced,9.9,Advanced / Proficient,28.68,"These are Alaska's published statewide Grade 3 AK STAR ELA source bins, plus the companion results page's Advanced / Proficient share.",https://education.alaska.gov/akassessments/AKAssessment_Brief_2025.pdf,https://education.alaska.gov/assessment-results/Statewide/StatewideResults?isScience=False&schoolYear=2024-2025
AL,Alabama,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,federal_proficiency_only_proxy,Percent Proficient,54.3,,,,,,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AALABAMA,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
AR,Arkansas,ATLAS,ELA,03,2024-2025,2025,published_exact_tiers,Level 1,29.3,Level 2,34.8,Level 3,21.1,Level 4,14.8,,,Arkansas publishes exact statewide Grade 3 ATLAS ELA performance tiers directly in the annual summary workbook.,https://dese.ade.arkansas.gov/Files/Atlas_Summary_Post-Corrections_Scores_Spring_2025_PSA.xlsx,https://dese.ade.arkansas.gov/Offices/public-school-accountability/assessment-test-scores/2025
AZ,Arizona,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,federal_proficiency_only_proxy,Percent Proficient,40.7,,,,,,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AARIZONA,https://eddataexpress.ed.gov/download/data-builder/data-download-tool
CA,California,CAASPP,ELA,03,2024-2025,2025,published_proficiency_only,Standard Met/Exceeded,44.0,,,,,,,,,California's 2025 CAASPP ELA statewide Grade 3 workbook publishes WithScores and Standard Met/Exceeded only. The public workbook used here does not expose the full statewide performance-level split.,https://www.cde.ca.gov/ta/tg/ca/documents/elaallall2025.xlsx,https://www.cde.ca.gov/ta/tg/ca/caaspp2025datasummary.asp
CO,Colorado,CMAS,ELA,03,2024-2025,2025,published_exact_tiers,Did Not Yet Meet Expectations,22.4,Partially Met Expectations,15.7,Approached Expectations,19.9,Met Expectations,37.7,Exceeded Expectations,4.3,Colorado publishes exact statewide CMAS performance tiers directly.,https://resources.finalsite.net/files/t_file_download/v1776115348/cdestatecous/rrkmbmijrknlrhuvzk4e/2025CMASMathELACSLADistrictandSchoolSummaryAchievementResults.xlsx,https://ed.cde.state.co.us/assessment/cmas-dataandresults-2025
CT,Connecticut,Smarter Balanced,ELA,03,2024-2025,2025,published_exact_tiers,Level 1 Not Met,30.7,Level 2 Approaching,22.4,Level 3 Met,20.8,Level 4 Exceeded,26.0,Level 3&4 Met or Exceeded,46.9,"These are Connecticut's published statewide 2024-25 Grade 3 Smarter Balanced ELA source bins, plus the combined Level 3&4 Met or Exceeded percentage.",https://edsight.ct.gov/SASStoredProcess/guest?_grade=3&_year=2024-25&_district=State+of+Connecticut&_school=&_subject=ELA&_subgroup=All+Students&_program=%2FCTDOE%2FEdSight%2FRelease%2FReporting%2FPublic%2FReports%2FStoredProcesses%2FSmarterBalancedAssessmentReport_SiteCore&_select=Submit,https://public-edsight.ct.gov/performance/smarter-balanced-achievement-participation
DC,District of Columbia,DC CAPE,ELA,03,2024-2025,2025,published_exact_tiers,Did Not Yet Meet Expectations,34.4,Partially Met Expectations,17.1,Approached Expectations,18.3,Met Expectations,26.2,Exceeded Expectations,4.0,OSSE publishes exact statewide Grade 3 DC CAPE ELA performance levels directly. These source bins are from the DC CAPE-only Performance Level sheet.,https://app.box.com/index.php?rm=box_download_shared_file&shared_name=l1fz6ucfcut7q7pg8qzbo3l9ffb19pmm&file_id=f_1962534999838,https://osse.dc.gov/node/1794106
DE,Delaware,Smarter Balanced,ELA,03,2024-2025,2025,published_proficiency_only,Met Achievement Standard (proficient),38.72,,,,,,,,,"The public Delaware statewide assessment rows used here expose Grade 3 ELA proficiency only, not a full statewide tier split.",https://data.delaware.gov/api/views/ms6b-mt82/rows.csv?accessType=DOWNLOAD,https://education.delaware.gov/educators/academic-support/standards-and-assessments/english-and-language-arts/assessments/
FL,Florida,FAST,ELA,03,2024-2025,2025,published_exact_tiers,Level 1,22.0,Level 2,21.0,Level 3,23.0,Level 4,21.0,Level 5,14.0,Florida publishes exact statewide Grade 3 FAST ELA PM3 Levels 1 through 5 directly.,https://origin.fldoe.org/core/fileparse.php/5668/urlt/3ELA03SRDSpring25.xls,https://www.fldoe.org/accountability/assessments/k-12-student-assessment/results/2025.stml
